"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R15D","R1210","1300.48mil","2522mil","1300.961mil","2522mil","1243.394mil","2522mil","T","360.00","Template - Resistor"
"R15C","R1210","980mil","1660.48mil","980mil","1660mil","980mil","1717.567mil","T","270.00","Template - Resistor"
"R15B","R1210","2070.827mil","1390.48mil","2070.827mil","1390mil","2070.827mil","1447.567mil","T","270.00","Template - Resistor"
"R15A","R1210","2280mil","2389.519mil","2280mil","2390mil","2280mil","2332.433mil","T","90.00","Template - Resistor"
"R14D","R1210","1300.48mil","2740mil","1300mil","2740mil","1357.567mil","2740mil","T","180.00","Template - Resistor"
"R14C","R1210","810mil","1659.52mil","810mil","1660mil","810mil","1602.433mil","T","90.00","Template - Resistor"
"R14B","R1210","1909.173mil","1389.52mil","1909.173mil","1390mil","1909.173mil","1332.433mil","T","90.00","Template - Resistor"
"R14A","R1210","2120mil","2390.481mil","2120mil","2390mil","2120mil","2447.567mil","T","270.00","Template - Resistor"
"U7B","SOT23-5","-1930mil","940mil","-1930mil","940mil","-1967.402mil","886.85mil","T","0.00","Single XOR Logic Gate"
"U7A","SOT23-5","2377.402mil","-163.15mil","2377.402mil","-163.15mil","2340mil","-216.299mil","T","360.00","Single XOR Logic Gate"
"C1","C2220_-_CERAMIC","-1010mil","1790mil","-1010mil","1790mil","-1010mil","1693.543mil","T","90.00","1uF 2220 450V"
"C2","C2220_-_CERAMIC","1990mil","1643mil","1990mil","1643mil","1893.543mil","1643mil","T","360.00","1uF 2220 450V"
"C3","C2220_-_CERAMIC","1990mil","1878mil","1990mil","1878mil","1893.543mil","1878mil","T","360.00","1uF 2220 450V"
"C4","C0805_-_Ceramic","-460mil","-360mil","-460mil","-360mil","-460mil","-396.5mil","T","90.00","10uF 0805 10V"
"C5","C0603_-_Ceramic","70mil","-1500mil","70mil","-1500mil","99mil","-1500mil","T","180.00","100nF 0603 50V"
"C6","C0603_-_Ceramic","-450mil","-2160mil","-450mil","-2160mil","-450mil","-2189mil","T","90.00","100nF 0603 50V"
"C7","C0603_-_Ceramic","170mil","-410mil","170mil","-410mil","170mil","-439mil","T","90.00","100nF 0603 50V"
"C8","C0603_-_Ceramic","-460mil","-130mil","-460mil","-130mil","-460mil","-159mil","T","90.00","100nF 0603 50V"
"C9","C2220_-_CERAMIC","685mil","1985mil","685mil","1985mil","588.543mil","1985mil","T","360.00","1uF 2220 450V"
