Altium Designer Pick and Place Locations
C:\Users\craigc\Desktop\Afriji\Hardware\design\Schematic & PCB\PV Refridgerator v0.1.1\ProjectOutputs\Pick Place\Pick and place.csv

========================================================================================================================
File Design Information:

Date:       21 02 17
Time:       17:54
Revision:   0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R15D","Template - Resistor","TopLayer","R1210","-40.628","137.719","360",""
"R15C","Template - Resistor","TopLayer","R1210","-48.768","115.836","270",""
"R15B","Template - Resistor","TopLayer","R1210","-21.061","108.978","270",""
"R15A","Template - Resistor","TopLayer","R1210","-15.748","134.354","90",""
"R14D","Template - Resistor","TopLayer","R1210","-40.628","143.256","180","Resistor"
"R14C","Template - Resistor","TopLayer","R1210","-53.086","115.812","90","Resistor"
"R14B","Template - Resistor","TopLayer","R1210","-25.167","108.954","90","Resistor"
"R14A","Template - Resistor","TopLayer","R1210","-19.812","134.378","270","Resistor"
"U7B","Single XOR Logic Gate","TopLayer","SOT23-5","-122.682","97.536","0",""
"U7A","Single XOR Logic Gate","TopLayer","SOT23-5","-13.274","69.516","360",""
"C1","1uF 2220 450V","TopLayer","C2220_-_CERAMIC","-99.314","119.126","90",""
"C2","1uF 2220 450V","TopLayer","C2220_-_CERAMIC","-23.114","115.392","360",""
"C3","1uF 2220 450V","TopLayer","C2220_-_CERAMIC","-23.114","121.361","360",""
"C4","10uF 0805 10V","TopLayer","C0805_-_Ceramic","-85.344","64.516","90",""
"C5","100nF 0603 50V","TopLayer","C0603_-_Ceramic","-71.882","35.560","180",""
"C6","100nF 0603 50V","TopLayer","C0603_-_Ceramic","-85.090","18.796","90",""
"C7","100nF 0603 50V","TopLayer","C0603_-_Ceramic","-69.342","63.246","90",""
"C8","100nF 0603 50V","TopLayer","C0603_-_Ceramic","-85.344","70.358","90",""
"C9","1uF 2220 450V","TopLayer","C2220_-_CERAMIC","-56.261","124.079","360",""
"C10","1uF 2220 450V","TopLayer","C2220_-_CERAMIC","-56.261","130.937","360",""
"C15A","100nF 0603 50V","TopLayer","C0603_-_Ceramic","-136.945","120.421","90",""
"C15B","100nF 0603 50V","TopLayer","C0603_-_Ceramic","-136.500","110.846","90",""
"C15C","100nF 0603 50V","TopLayer","C0603_-_Ceramic","-14.732","81.026","180",""
"C15D","100nF 0603 50V","TopLayer","C0603_-_Ceramic","-28.981","80.518","180",""
"C11","100nF 0603 50V","TopLayer","Capacitor_-_0603_Ceramic","-138.684","84.328","360","Non-polarized"
"C12","1206","TopLayer","Capacitor_-_1210_Tantalum","-138.176","73.406","360","Polarized"
